[0.000s] Experiment Started
[5.005s] Block 1 Started
[6.006s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[9.009s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[11.011s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[14.014s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[16.016s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[19.019s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[21.021s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[24.022s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[26.024s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[29.027s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[31.029s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[34.032s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[36.034s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[39.037s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[41.039s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[44.042s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[46.043s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[49.046s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[51.048s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[54.051s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[56.053s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[59.056s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[61.058s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[64.061s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[66.063s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[69.064s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[71.066s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[74.069s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[76.071s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[79.074s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[81.076s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[84.079s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[86.081s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[89.084s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[91.086s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[94.088s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[96.090s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[99.093s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[101.095s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[104.098s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[106.100s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[109.103s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[111.105s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[114.107s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[116.108s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[119.111s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[121.113s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[124.116s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[126.118s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[129.121s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[131.123s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[134.126s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[136.128s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[139.131s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[141.132s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[144.135s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[146.137s] Block 1 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[149.140s] Block 1 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[151.142s] Block 1 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[154.145s] Block 1 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[156.147s] Block 1 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[159.149s] Block 1 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[161.151s] Block 1 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[164.153s] Block 1 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[166.155s] Block 1 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[169.158s] Block 1 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[171.160s] Block 1 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[174.163s] Block 1 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[176.165s] Block 1 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[179.168s] Block 1 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[181.170s] Block 1 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[184.173s] Block 1 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[186.175s] Block 1 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[189.177s] Block 1 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[191.179s] Block 1 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[194.182s] Block 1 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[196.184s] Block 1 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[199.187s] Block 1 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[201.189s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[204.191s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[205.192s] Block 1 Ended
[265.198s] Block 2 Started
[266.199s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[269.202s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[271.204s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[274.207s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[276.209s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[279.211s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[281.213s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[284.216s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[286.218s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[289.221s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
