[0.000s] Experiment Started
[5.083s] Block 1 Started
[202.723s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[205.739s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[206.756s] Block 1 Ended
[266.766s] Block 2 Started
[267.767s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[270.783s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[272.816s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[275.833s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[277.858s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[280.875s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[282.908s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[285.917s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[287.950s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[290.967s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[293.000s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[296.009s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[298.042s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[301.059s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[303.092s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[306.101s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[308.134s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[311.150s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[313.176s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[316.176s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[318.209s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[321.226s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[323.235s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[326.252s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[328.285s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[331.301s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[333.327s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[336.344s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[338.377s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[341.386s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[343.419s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[346.436s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[348.469s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[351.478s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[353.511s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[356.527s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[358.561s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[361.569s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[363.603s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[366.619s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[368.645s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[371.645s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[373.678s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[376.694s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[378.703s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[381.720s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[383.753s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[386.762s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[388.778s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[391.795s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[393.828s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[396.838s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[398.871s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[401.887s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[403.920s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[406.930s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[408.963s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[411.979s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[414.012s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[417.022s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[419.055s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[422.071s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[424.097s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[427.113s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[429.147s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[432.163s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[434.172s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[437.189s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[439.222s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[442.231s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[444.247s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[447.264s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[449.297s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[452.306s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[454.339s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[457.356s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[459.389s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[462.398s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[464.431s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[467.447s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[468.464s] Block 2 Ended
[528.475s] Block 3 Started
[529.491s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[532.508s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[534.533s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[537.533s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[539.566s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[542.583s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[544.592s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[547.608s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[549.642s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[552.650s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[554.667s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[557.684s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[559.717s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[562.727s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[564.760s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[567.775s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[569.809s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[572.818s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[574.852s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[577.868s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[579.901s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[582.910s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[584.943s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[587.960s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[589.985s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[592.985s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[595.019s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[598.035s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[600.044s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[603.061s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[605.094s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[608.102s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[610.119s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
