[0.000s] Experiment Started
[5.005s] Block 1 Started
[6.006s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[9.008s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[11.010s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[14.013s] Block 1 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[16.015s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[19.018s] Block 1 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[21.020s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[24.022s] Block 1 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[26.024s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[29.027s] Block 1 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[31.029s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[34.032s] Block 1 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[36.034s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[39.037s] Block 1 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[41.039s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[44.041s] Block 1 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[46.043s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[49.046s] Block 1 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[51.048s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[54.051s] Block 1 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[56.052s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[59.055s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[61.057s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[64.060s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[66.062s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[69.064s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[71.066s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[74.069s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[76.071s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[79.074s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[81.076s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[84.079s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[86.081s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[89.084s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[91.085s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[94.088s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[96.090s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[99.093s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[101.095s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[104.097s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[106.099s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[109.102s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[111.104s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[114.107s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[116.108s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[119.111s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[121.113s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[124.116s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[126.118s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[129.121s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[131.123s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[134.126s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
