[0.000s] Experiment Started
[5.223s] Block 1 Started
[203.177s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[206.194s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[207.210s] Block 1 Ended
[267.223s] Block 2 Started
[268.240s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[271.256s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[273.290s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[276.306s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[278.339s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[281.356s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[283.389s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[286.405s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[288.422s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[291.438s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[293.472s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[296.473s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[298.505s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[301.521s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[303.554s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[306.557s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[308.588s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[311.604s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[313.637s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[316.639s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[318.670s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[321.687s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[323.720s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[326.736s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[328.753s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[331.754s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[333.771s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[336.786s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[338.802s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[341.819s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[343.835s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[346.852s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[348.885s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[351.901s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[353.918s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[356.934s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
