[0.000s] Experiment Started
[5.079s] Block 1 Started
[6.095s] Block 1 | Stimulus 1 | Trial 1 | Freq 4Hz - Started
[9.109s] Block 1 | Stimulus 1 | Trial 1 | Freq 4Hz - Ended
[11.141s] Block 1 | Stimulus 1 | Trial 2 | Freq 4Hz - Started
[14.154s] Block 1 | Stimulus 1 | Trial 2 | Freq 4Hz - Ended
[16.186s] Block 1 | Stimulus 1 | Trial 3 | Freq 4Hz - Started
[19.200s] Block 1 | Stimulus 1 | Trial 3 | Freq 4Hz - Ended
[21.231s] Block 1 | Stimulus 1 | Trial 4 | Freq 4Hz - Started
[24.246s] Block 1 | Stimulus 1 | Trial 4 | Freq 4Hz - Ended
[26.277s] Block 1 | Stimulus 1 | Trial 5 | Freq 4Hz - Started
[29.292s] Block 1 | Stimulus 1 | Trial 5 | Freq 4Hz - Ended
[31.323s] Block 1 | Stimulus 1 | Trial 6 | Freq 4Hz - Started
[34.337s] Block 1 | Stimulus 1 | Trial 6 | Freq 4Hz - Ended
[36.369s] Block 1 | Stimulus 1 | Trial 7 | Freq 4Hz - Started
[39.382s] Block 1 | Stimulus 1 | Trial 7 | Freq 4Hz - Ended
[41.414s] Block 1 | Stimulus 1 | Trial 8 | Freq 4Hz - Started
[44.428s] Block 1 | Stimulus 1 | Trial 8 | Freq 4Hz - Ended
[46.459s] Block 1 | Stimulus 1 | Trial 9 | Freq 4Hz - Started
[49.474s] Block 1 | Stimulus 1 | Trial 9 | Freq 4Hz - Ended
[51.505s] Block 1 | Stimulus 1 | Trial 10 | Freq 4Hz - Started
[54.520s] Block 1 | Stimulus 1 | Trial 10 | Freq 4Hz - Ended
[56.551s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[59.565s] Block 1 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[61.597s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[64.610s] Block 1 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[66.642s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[69.656s] Block 1 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[71.688s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[74.702s] Block 1 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[76.733s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[79.747s] Block 1 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[81.779s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[84.793s] Block 1 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[86.824s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[89.838s] Block 1 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[91.870s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[94.884s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[96.916s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[99.930s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[101.961s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[104.975s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[107.007s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[110.021s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[112.052s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[115.066s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[117.098s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[120.112s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[122.144s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[125.158s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[127.190s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[130.203s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[132.235s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[135.249s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[137.280s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[140.294s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[142.326s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[145.340s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
