[0.000s] Experiment Started
[5.005s] Block 1 Started
[6.006s] Block 1 | Stimulus 1 | Trial 1 | Freq 7Hz - Started
[9.009s] Block 1 | Stimulus 1 | Trial 1 | Freq 7Hz - Ended
[11.011s] Block 1 | Stimulus 1 | Trial 2 | Freq 7Hz - Started
[14.014s] Block 1 | Stimulus 1 | Trial 2 | Freq 7Hz - Ended
[16.016s] Block 1 | Stimulus 1 | Trial 3 | Freq 7Hz - Started
[19.019s] Block 1 | Stimulus 1 | Trial 3 | Freq 7Hz - Ended
[21.020s] Block 1 | Stimulus 1 | Trial 4 | Freq 7Hz - Started
[24.022s] Block 1 | Stimulus 1 | Trial 4 | Freq 7Hz - Ended
[26.024s] Block 1 | Stimulus 1 | Trial 5 | Freq 7Hz - Started
[29.027s] Block 1 | Stimulus 1 | Trial 5 | Freq 7Hz - Ended
[31.029s] Block 1 | Stimulus 1 | Trial 6 | Freq 7Hz - Started
[34.032s] Block 1 | Stimulus 1 | Trial 6 | Freq 7Hz - Ended
[36.034s] Block 1 | Stimulus 1 | Trial 7 | Freq 7Hz - Started
[39.037s] Block 1 | Stimulus 1 | Trial 7 | Freq 7Hz - Ended
[41.039s] Block 1 | Stimulus 1 | Trial 8 | Freq 7Hz - Started
[44.042s] Block 1 | Stimulus 1 | Trial 8 | Freq 7Hz - Ended
[46.043s] Block 1 | Stimulus 1 | Trial 9 | Freq 7Hz - Started
[49.046s] Block 1 | Stimulus 1 | Trial 9 | Freq 7Hz - Ended
[51.048s] Block 1 | Stimulus 1 | Trial 10 | Freq 7Hz - Started
[54.051s] Block 1 | Stimulus 1 | Trial 10 | Freq 7Hz - Ended
[56.053s] Block 1 | Stimulus 2 | Trial 1 | Freq 9Hz - Started
[59.056s] Block 1 | Stimulus 2 | Trial 1 | Freq 9Hz - Ended
[61.058s] Block 1 | Stimulus 2 | Trial 2 | Freq 9Hz - Started
[64.061s] Block 1 | Stimulus 2 | Trial 2 | Freq 9Hz - Ended
[66.063s] Block 1 | Stimulus 2 | Trial 3 | Freq 9Hz - Started
[69.064s] Block 1 | Stimulus 2 | Trial 3 | Freq 9Hz - Ended
[71.066s] Block 1 | Stimulus 2 | Trial 4 | Freq 9Hz - Started
[74.069s] Block 1 | Stimulus 2 | Trial 4 | Freq 9Hz - Ended
[76.071s] Block 1 | Stimulus 2 | Trial 5 | Freq 9Hz - Started
[79.074s] Block 1 | Stimulus 2 | Trial 5 | Freq 9Hz - Ended
[81.076s] Block 1 | Stimulus 2 | Trial 6 | Freq 9Hz - Started
[84.079s] Block 1 | Stimulus 2 | Trial 6 | Freq 9Hz - Ended
[86.081s] Block 1 | Stimulus 2 | Trial 7 | Freq 9Hz - Started
[89.084s] Block 1 | Stimulus 2 | Trial 7 | Freq 9Hz - Ended
[91.086s] Block 1 | Stimulus 2 | Trial 8 | Freq 9Hz - Started
[94.088s] Block 1 | Stimulus 2 | Trial 8 | Freq 9Hz - Ended
[96.090s] Block 1 | Stimulus 2 | Trial 9 | Freq 9Hz - Started
[99.093s] Block 1 | Stimulus 2 | Trial 9 | Freq 9Hz - Ended
[101.095s] Block 1 | Stimulus 2 | Trial 10 | Freq 9Hz - Started
[104.098s] Block 1 | Stimulus 2 | Trial 10 | Freq 9Hz - Ended
[106.100s] Block 1 | Stimulus 3 | Trial 1 | Freq 11Hz - Started
[109.103s] Block 1 | Stimulus 3 | Trial 1 | Freq 11Hz - Ended
[111.105s] Block 1 | Stimulus 3 | Trial 2 | Freq 11Hz - Started
[114.107s] Block 1 | Stimulus 3 | Trial 2 | Freq 11Hz - Ended
[116.109s] Block 1 | Stimulus 3 | Trial 3 | Freq 11Hz - Started
[119.111s] Block 1 | Stimulus 3 | Trial 3 | Freq 11Hz - Ended
[121.113s] Block 1 | Stimulus 3 | Trial 4 | Freq 11Hz - Started
[124.116s] Block 1 | Stimulus 3 | Trial 4 | Freq 11Hz - Ended
[126.118s] Block 1 | Stimulus 3 | Trial 5 | Freq 11Hz - Started
[129.121s] Block 1 | Stimulus 3 | Trial 5 | Freq 11Hz - Ended
[131.123s] Block 1 | Stimulus 3 | Trial 6 | Freq 11Hz - Started
[134.126s] Block 1 | Stimulus 3 | Trial 6 | Freq 11Hz - Ended
[136.128s] Block 1 | Stimulus 3 | Trial 7 | Freq 11Hz - Started
[139.131s] Block 1 | Stimulus 3 | Trial 7 | Freq 11Hz - Ended
[141.132s] Block 1 | Stimulus 3 | Trial 8 | Freq 11Hz - Started
[144.135s] Block 1 | Stimulus 3 | Trial 8 | Freq 11Hz - Ended
[146.137s] Block 1 | Stimulus 3 | Trial 9 | Freq 11Hz - Started
[149.140s] Block 1 | Stimulus 3 | Trial 9 | Freq 11Hz - Ended
[151.142s] Block 1 | Stimulus 3 | Trial 10 | Freq 11Hz - Started
[154.145s] Block 1 | Stimulus 3 | Trial 10 | Freq 11Hz - Ended
[156.147s] Block 1 | Stimulus 4 | Trial 1 | Freq 13Hz - Started
[159.149s] Block 1 | Stimulus 4 | Trial 1 | Freq 13Hz - Ended
[161.151s] Block 1 | Stimulus 4 | Trial 2 | Freq 13Hz - Started
[164.153s] Block 1 | Stimulus 4 | Trial 2 | Freq 13Hz - Ended
[166.155s] Block 1 | Stimulus 4 | Trial 3 | Freq 13Hz - Started
[169.158s] Block 1 | Stimulus 4 | Trial 3 | Freq 13Hz - Ended
[171.160s] Block 1 | Stimulus 4 | Trial 4 | Freq 13Hz - Started
[174.163s] Block 1 | Stimulus 4 | Trial 4 | Freq 13Hz - Ended
[176.165s] Block 1 | Stimulus 4 | Trial 5 | Freq 13Hz - Started
[179.168s] Block 1 | Stimulus 4 | Trial 5 | Freq 13Hz - Ended
[181.170s] Block 1 | Stimulus 4 | Trial 6 | Freq 13Hz - Started
[184.173s] Block 1 | Stimulus 4 | Trial 6 | Freq 13Hz - Ended
[186.175s] Block 1 | Stimulus 4 | Trial 7 | Freq 13Hz - Started
[189.177s] Block 1 | Stimulus 4 | Trial 7 | Freq 13Hz - Ended
[191.179s] Block 1 | Stimulus 4 | Trial 8 | Freq 13Hz - Started
[194.182s] Block 1 | Stimulus 4 | Trial 8 | Freq 13Hz - Ended
[196.184s] Block 1 | Stimulus 4 | Trial 9 | Freq 13Hz - Started
[199.187s] Block 1 | Stimulus 4 | Trial 9 | Freq 13Hz - Ended
[201.189s] Block 1 | Stimulus 4 | Trial 10 | Freq 13Hz - Started
[204.191s] Block 1 | Stimulus 4 | Trial 10 | Freq 13Hz - Ended
[205.192s] Block 1 Ended
[265.198s] Block 2 Started
[266.199s] Block 2 | Stimulus 1 | Trial 1 | Freq 7Hz - Started
[269.202s] Block 2 | Stimulus 1 | Trial 1 | Freq 7Hz - Ended
[271.204s] Block 2 | Stimulus 1 | Trial 2 | Freq 7Hz - Started
[274.207s] Block 2 | Stimulus 1 | Trial 2 | Freq 7Hz - Ended
[276.209s] Block 2 | Stimulus 1 | Trial 3 | Freq 7Hz - Started
[279.211s] Block 2 | Stimulus 1 | Trial 3 | Freq 7Hz - Ended
[281.213s] Block 2 | Stimulus 1 | Trial 4 | Freq 7Hz - Started
[284.216s] Block 2 | Stimulus 1 | Trial 4 | Freq 7Hz - Ended
[286.218s] Block 2 | Stimulus 1 | Trial 5 | Freq 7Hz - Started
[289.221s] Block 2 | Stimulus 1 | Trial 5 | Freq 7Hz - Ended
[291.223s] Block 2 | Stimulus 1 | Trial 6 | Freq 7Hz - Started
[294.226s] Block 2 | Stimulus 1 | Trial 6 | Freq 7Hz - Ended
[296.228s] Block 2 | Stimulus 1 | Trial 7 | Freq 7Hz - Started
[299.231s] Block 2 | Stimulus 1 | Trial 7 | Freq 7Hz - Ended
[301.231s] Block 2 | Stimulus 1 | Trial 8 | Freq 7Hz - Started
[304.234s] Block 2 | Stimulus 1 | Trial 8 | Freq 7Hz - Ended
[306.236s] Block 2 | Stimulus 1 | Trial 9 | Freq 7Hz - Started
[309.239s] Block 2 | Stimulus 1 | Trial 9 | Freq 7Hz - Ended
[311.241s] Block 2 | Stimulus 1 | Trial 10 | Freq 7Hz - Started
[314.244s] Block 2 | Stimulus 1 | Trial 10 | Freq 7Hz - Ended
[316.246s] Block 2 | Stimulus 2 | Trial 1 | Freq 9Hz - Started
[319.249s] Block 2 | Stimulus 2 | Trial 1 | Freq 9Hz - Ended
[321.251s] Block 2 | Stimulus 2 | Trial 2 | Freq 9Hz - Started
[324.253s] Block 2 | Stimulus 2 | Trial 2 | Freq 9Hz - Ended
[326.255s] Block 2 | Stimulus 2 | Trial 3 | Freq 9Hz - Started
[329.258s] Block 2 | Stimulus 2 | Trial 3 | Freq 9Hz - Ended
[331.260s] Block 2 | Stimulus 2 | Trial 4 | Freq 9Hz - Started
[334.263s] Block 2 | Stimulus 2 | Trial 4 | Freq 9Hz - Ended
[336.265s] Block 2 | Stimulus 2 | Trial 5 | Freq 9Hz - Started
[339.268s] Block 2 | Stimulus 2 | Trial 5 | Freq 9Hz - Ended
[341.270s] Block 2 | Stimulus 2 | Trial 6 | Freq 9Hz - Started
[344.273s] Block 2 | Stimulus 2 | Trial 6 | Freq 9Hz - Ended
[346.274s] Block 2 | Stimulus 2 | Trial 7 | Freq 9Hz - Started
[349.276s] Block 2 | Stimulus 2 | Trial 7 | Freq 9Hz - Ended
[351.278s] Block 2 | Stimulus 2 | Trial 8 | Freq 9Hz - Started
[354.281s] Block 2 | Stimulus 2 | Trial 8 | Freq 9Hz - Ended
[356.283s] Block 2 | Stimulus 2 | Trial 9 | Freq 9Hz - Started
[359.286s] Block 2 | Stimulus 2 | Trial 9 | Freq 9Hz - Ended
[361.288s] Block 2 | Stimulus 2 | Trial 10 | Freq 9Hz - Started
[364.291s] Block 2 | Stimulus 2 | Trial 10 | Freq 9Hz - Ended
[366.293s] Block 2 | Stimulus 3 | Trial 1 | Freq 11Hz - Started
[369.296s] Block 2 | Stimulus 3 | Trial 1 | Freq 11Hz - Ended
[371.298s] Block 2 | Stimulus 3 | Trial 2 | Freq 11Hz - Started
[374.300s] Block 2 | Stimulus 3 | Trial 2 | Freq 11Hz - Ended
[376.302s] Block 2 | Stimulus 3 | Trial 3 | Freq 11Hz - Started
[379.305s] Block 2 | Stimulus 3 | Trial 3 | Freq 11Hz - Ended
[381.307s] Block 2 | Stimulus 3 | Trial 4 | Freq 11Hz - Started
